Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,キャリア,騎手,人気,着順,頭数,種牡馬,母父馬,馬主(最新/仮想),生産者,毛色,馬記号,生年月日,市場取引価格(万/最終),取引市場(最終),産地
,250413,2阪6,11,桜花賞G1,エンブロイダリー,,牝,3,5,モレイラ,3,１,18,アドマイヤマーズ,クロフネ,シルクレーシング,ノーザンファーム,鹿毛,,2022. 2. 1,,,安平町
,250413,2阪6,11,桜花賞G1,アルマヴェローチェ,,牝,3,3,岩田望来,2,２,18,ハービンジャー,ダイワメジャー,"TO RACING",ノーザンファーム,黒鹿,,2022. 2.15,3300万,セレクトセール,安平町
,250413,2阪6,11,桜花賞G1,リンクスティップ,,牝,3,3,Ｍ．デム,4,３,18,キタサンブラック,"Kitten's Joy",サンデーレーシング,社台コーポレーション白老ファーム,鹿毛,,2022. 3. 4,,,白老町
,250413,2阪6,11,桜花賞G1,マピュース,,牝,3,4,田辺裕信,9,４,18,マインドユアビスケッツ,シンボリクリスエス,吉本雄二,社台ファーム,栗毛,,2022. 3.26,4400万,セレクトセール,千歳市
,250413,2阪6,11,桜花賞G1,エリカエクスプレス,,牝,3,2,戸崎圭太,1,５,18,エピファネイア,Galileo,三木正浩,三嶋牧場,黒鹿,,2022. 3. 8,,,浦河町
,250413,2阪6,11,桜花賞G1,チェルビアット,,牝,3,5,北村友一,12,６,18,ロードカナロア,フレンチデピュティ,シルクレーシング,社台コーポレーション白老ファーム,鹿毛,,2022. 4. 7,,,白老町
,250413,2阪6,11,桜花賞G1,プリムツァール,,牝,3,3,津村明秀,18,７,18,イスラボニータ,Footstepsinthesand,社台レースホース,社台ファーム,黒鹿,,2022. 4. 2,,,千歳市
,250413,2阪6,11,桜花賞G1,ヴーレヴー,,牝,3,7,浜中俊,10,８,18,サトノクラウン,マンハッタンカフェ,桑田牧場,ノーザンファーム,黒鹿,,2022. 2. 9,4290万,セレクトセール,安平町
,250413,2阪6,11,桜花賞G1,ブラウンラチェット,,牝,3,3,横山武史,8,９,18,キズナ,Congrats,サンデーレーシング,ノーザンファーム,鹿毛,,2022. 4. 8,,,安平町
,250413,2阪6,11,桜花賞G1,ショウナンザナドゥ,,牝,3,6,池添謙一,6,10,18,キズナ,Pulpit,国本哲秀,ノーザンファーム,鹿毛,,2022. 2.18,20350万,セレクトセール,安平町
,250413,2阪6,11,桜花賞G1,ビップデイジー,,牝,3,4,幸英明,5,11,18,サトノダイヤモンド,キングカメハメハ,鈴木邦英,ノーザンファーム,鹿毛,,2022. 2.15,5720万,セレクトセール,安平町
,250413,2阪6,11,桜花賞G1,ボンヌソワレ,,牝,3,6,川田将雅,13,12,18,レイデオロ,Kendargent,社台レースホース,社台ファーム,栗毛,,2022. 2.14,,,千歳市
,250413,2阪6,11,桜花賞G1,ナムラクララ,,牝,3,5,藤岡佑介,16,13,18,アドマイヤマーズ,"Storm Cat",奈村睦弘,谷川牧場,栗毛,,2022. 4. 7,,,浦河町
,250413,2阪6,11,桜花賞G1,ウォーターガーベラ,,牝,3,7,武豊,11,14,18,レイデオロ,ヴィクトワールピサ,山岡正人,伏木田牧場,鹿毛,,2022. 4. 3,,,浦河町
,250413,2阪6,11,桜花賞G1,クリノメイ,,牝,3,4,酒井学,7,15,18,オルフェーヴル,プリサイスエンド,栗本依利子,木村牧場,栗毛,,2022. 5. 8,,,日高町
,250413,2阪6,11,桜花賞G1,ダンツエラン,,牝,3,5,団野大成,17,16,18,ロードカナロア,"Into Mischief",山元哲二,宮内牧場,鹿毛,,2022. 4. 6,4620万,北海道セレクションセール,浦河町
,250413,2阪6,11,桜花賞G1,ミストレス,,牝,3,5,坂井瑠星,14,17,18,キズナ,"Distorted Humor",前田晋二,グランド牧場,黒鹿,,2022. 2. 2,9680万,セレクトセール,新ひだか町
,250413,2阪6,11,桜花賞G1,トワイライトシティ,,牝,3,2,松山弘平,15,18,18,エピファネイア,Oratorio,エムズレーシング,高橋フアーム,鹿毛,,2022. 3.14,,,新ひだか町
,240407,2阪6,11,桜花賞G1,ステレンボッシュ,,牝,3,4,モレイラ,2,１,18,エピファネイア,ルーラーシップ,吉田勝己,ノーザンファーム,鹿毛,,2021. 2.12,,,安平町
,240407,2阪6,11,桜花賞G1,アスコリピチェーノ,,牝,3,3,北村宏司,1,２,18,ダイワメジャー,"Danehill Dancer",サンデーレーシング,ノーザンファーム,黒鹿,,2021. 2.24,,,安平町
,240407,2阪6,11,桜花賞G1,ライトバック,,牝,3,3,坂井瑠星,7,３,18,キズナ,"Exceed And Excel",増田和啓,レイクヴィラファーム,黒鹿,,2021. 1.14,2420万,北海道セレクションセール,洞爺湖町
,240407,2阪6,11,桜花賞G1,スウィープフィート,,牝,3,6,武豊,6,４,18,スワーヴリチャード,ディープスカイ,YGGホースクラブ,聖心台牧場,栗毛,,2021. 4. 5,385万,北海道サマーセール,新ひだか町
,240407,2阪6,11,桜花賞G1,エトヴプレ,,牝,3,6,鮫島克駿,9,５,18,"Too Darn Hot",Clodovil,H.H.シェイク・ハムダン,Godolphin,芦毛,(外),2021. 3.31,,,愛
,240407,2阪6,11,桜花賞G1,ワイドラトゥール,,牝,3,4,北村友一,16,６,18,カリフォルニアクローム,アグネスタキオン,幅田昌伸,フジワラフアーム,鹿毛,,2021. 5. 3,,,新ひだか町
,240407,2阪6,11,桜花賞G1,セキトバイースト,,牝,3,6,藤岡佑介,10,７,18,デクラレーションオブウォー,Footstepsinthesand,TNレーシング,タイヘイ牧場,鹿毛,,2021. 1.30,2310万,北海道セレクションセール,新ひだか町
,240407,2阪6,11,桜花賞G1,クイーンズウォーク,,牝,3,3,川田将雅,3,８,18,キズナ,Harlington,サンデーレーシング,ノーザンファーム,黒鹿,,2021. 3.14,,,安平町
,240407,2阪6,11,桜花賞G1,テウメッサ,,牝,3,5,岩田望来,15,９,18,ハービンジャー,キングカメハメハ,サンデーレーシング,ノーザンファーム,栗毛,,2021. 1.19,,,安平町
,240407,2阪6,11,桜花賞G1,ハワイアンティアレ,,牝,3,3,池添謙一,12,10,18,ロードカナロア,マンハッタンカフェ,名古屋友豊,社台ファーム,芦毛,,2021. 2. 4,,,千歳市
,240407,2阪6,11,桜花賞G1,イフェイオン,,牝,3,3,西村淳也,8,11,18,エピファネイア,ゼンノロブロイ,社台レースホース,社台ファーム,芦毛,,2021. 4. 1,,,千歳市
,240407,2阪6,11,桜花賞G1,シカゴスティング,,牝,3,6,浜中俊,17,12,18,ロゴタイプ,スクリーンヒーロー,辻川弘,社台ファーム,黒鹿,,2021. 4.17,1320万,千葉サラブレッドセール,千歳市
,240407,2阪6,11,桜花賞G1,チェルヴィニア,,牝,3,3,ムルザバ,4,13,18,ハービンジャー,キングカメハメハ,サンデーレーシング,ノーザンファーム,鹿毛,,2021. 2. 3,,,安平町
,240407,2阪6,11,桜花賞G1,マスクオールウィン,,牝,3,6,津村明秀,13,14,18,ドレフォン,ハーツクライ,宮レーシング,社台ファーム,栗毛,,2021. 4.25,4620万,セレクトセール,千歳市
,240407,2阪6,11,桜花賞G1,セシリエプラージュ,,牝,3,4,Ｍ．デム,14,15,18,ブリックスアンドモルタル,キングカメハメハ,吉田照哉,社台ファーム,黒鹿,,2021. 2. 6,,,千歳市
,240407,2阪6,11,桜花賞G1,コラソンビート,,牝,3,6,横山武史,5,16,18,スワーヴリチャード,オルフェーヴル,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,栗毛,,2021. 2.26,,,新冠町
,240407,2阪6,11,桜花賞G1,ショウナンマヌエラ,,牝,3,4,岩田康誠,18,17,18,ジャスタウェイ,シンボリクリスエス,国本哲秀,静内フジカワ牧場,黒鹿,,2021. 1.30,,,新ひだか町
,240407,2阪6,11,桜花賞G1,キャットファイト,,牝,3,6,松山弘平,11,18,18,ディスクリートキャット,パイロ,ゴドルフィン,ダーレー・ジャパン・ファーム,黒鹿,,2021. 4. 4,,,日高町
,230409,2阪6,11,桜花賞G1,リバティアイランド,,牝,3,3,川田将雅,1,１,18,ドゥラメンテ,"All American",サンデーレーシング,ノーザンファーム,鹿毛,,2020. 2. 2,,,安平町
,230409,2阪6,11,桜花賞G1,コナコースト,,牝,3,3,鮫島克駿,6,２,18,キタサンブラック,キングカメハメハ,サンデーレーシング,ノーザンファーム,青鹿,,2020. 3.15,,,安平町
,230409,2阪6,11,桜花賞G1,ペリファーニア,,牝,3,2,横山武史,5,３,18,モーリス,ハーツクライ,キャロットファーム,ノーザンファーム,青鹿,,2020. 3.25,,,安平町
,230409,2阪6,11,桜花賞G1,ハーパー,,牝,3,3,ルメール,3,４,18,ハーツクライ,"Jump Start",エムズレーシング,ノーザンファーム,鹿毛,,2020. 1.18,9460万,セレクトセール,安平町
,230409,2阪6,11,桜花賞G1,ドゥアイズ,,牝,3,5,吉田隼人,4,５,18,ルーラーシップ,ディープインパクト,G1レーシング,ノーザンファーム,鹿毛,,2020. 3.29,,,安平町
,230409,2阪6,11,桜花賞G1,シンリョクカ,,牝,3,2,吉田豊,9,６,18,サトノダイヤモンド,キングカメハメハ,由井健太郎,下河辺牧場,鹿毛,,2020. 1.24,,,日高町
,230409,2阪6,11,桜花賞G1,シングザットソング,,牝,3,4,岩田望来,11,７,18,ドゥラメンテ,"My Golden Song",社台レースホース,社台コーポレーション白老ファーム,黒鹿,,2020. 1.27,,,白老町
,230409,2阪6,11,桜花賞G1,ライトクオンタム,,牝,3,2,武豊,2,８,18,ディープインパクト,"Quality Road",社台レースホース,社台ファーム,青鹿,,2020. 2. 4,,,千歳市
,230409,2阪6,11,桜花賞G1,ブトンドール,,牝,3,5,池添謙一,16,９,18,ビッグアーサー,スウィフトカレント,吉田和美,ノーザンファーム,鹿毛,,2020. 1.25,2200万,セレクトセール,安平町
,230409,2阪6,11,桜花賞G1,エミュー,,牝,3,6,松山弘平,15,10,18,ハービンジャー,スペシャルウィーク,前田幸治,ノースヒルズ,鹿毛,,2020. 3.22,,,新冠町
,230409,2阪6,11,桜花賞G1,ラヴェル,,牝,3,3,坂井瑠星,10,11,18,キタサンブラック,ダイワメジャー,キャロットファーム,ノーザンファーム,鹿毛,,2020. 2.14,,,安平町
,230409,2阪6,11,桜花賞G1,キタウイング,,牝,3,6,杉原誠人,12,12,18,ダノンバラード,アイルハヴアナザー,ミルファーム,ミルファーム,黒鹿,,2020. 5.14,,,浦河町
,230409,2阪6,11,桜花賞G1,モズメイメイ,,牝,3,4,和田竜二,7,13,18,リアルインパクト,Frankel,キャピタル・システム,社台ファーム,鹿毛,,2020. 2.18,5060万,セレクトセール,千歳市
,230409,2阪6,11,桜花賞G1,ドゥーラ,,牝,3,5,戸崎圭太,8,14,18,ドゥラメンテ,キングヘイロー,サイプレスホールディングス,グランデファーム,黒鹿,,2020. 2. 8,,,浦河町
,230409,2阪6,11,桜花賞G1,コンクシェル,,牝,3,5,丸山元気,14,15,18,キズナ,Galileo,前田晋二,ノースヒルズ,黒鹿,,2020. 4.25,,,新冠町
,230409,2阪6,11,桜花賞G1,ジューンオレンジ,,牝,3,6,富田暁,18,16,18,ジャスタウェイ,シンボリクリスエス,吉川潤,ヒダカフアーム,芦毛,,2020. 3.14,,,浦河町
,230409,2阪6,11,桜花賞G1,ムーンプローブ,,牝,3,5,北村友一,17,17,18,モーリス,フジキセキ,吉田晴哉,追分ファーム,鹿毛,,2020. 3. 7,,,安平町
,230409,2阪6,11,桜花賞G1,トーセンローリエ,,牝,3,5,横山和生,13,18,18,サトノクラウン,メイショウサムソン,島川隆哉,エスティファーム,黒鹿,,2020. 2. 9,,,日高町
,220410,2阪6,11,桜花賞G1,スターズオンアース,,牝,3,5,川田将雅,7,１,18,ドゥラメンテ,"Smart Strike",社台レースホース,社台ファーム,黒鹿,,2019. 2.27,,,千歳市
,220410,2阪6,11,桜花賞G1,ウォーターナビレラ,,牝,3,5,武豊,3,２,18,シルバーステート,キングヘイロー,山岡正人,伏木田牧場,青鹿,,2019. 5.27,,,浦河町
,220410,2阪6,11,桜花賞G1,ナムラクレア,,牝,3,6,浜中俊,6,３,18,ミッキーアイル,"Storm Cat",奈村睦弘,谷川牧場,青鹿,,2019. 3.30,,,浦河町
,220410,2阪6,11,桜花賞G1,サークルオブライフ,,牝,3,5,Ｍ．デム,2,４,18,エピファネイア,アドマイヤジャパン,飯田正剛,千代田牧場,鹿毛,,2019. 3.24,,,新ひだか町
,220410,2阪6,11,桜花賞G1,ピンハイ,,牝,3,2,高倉稜,13,５,18,ミッキーアイル,ジャングルポケット,北畑忍,ヒダカフアーム,栗毛,,2019. 2.11,,,浦河町
,220410,2阪6,11,桜花賞G1,パーソナルハイ,,牝,3,6,吉田豊,17,６,18,ディープインパクト,"City Zip",G1レーシング,追分ファーム,鹿毛,,2019. 5. 8,,,安平町
,220410,2阪6,11,桜花賞G1,ベルクレスタ,,牝,3,5,吉田隼人,9,７,18,ドゥラメンテ,Numerous,サンデーレーシング,ノーザンファーム,鹿毛,,2019. 2. 6,,,安平町
,220410,2阪6,11,桜花賞G1,アルーリングウェイ,,牝,3,3,藤岡佑介,5,８,18,ジャスタウェイ,フレンチデピュティ,サンデーレーシング,社台コーポレーション白老ファーム,黒鹿,,2019. 2.26,,,白老町
,220410,2阪6,11,桜花賞G1,サブライムアンセム,,牝,3,7,岩田望来,11,９,18,ロードカナロア,シンボリクリスエス,サンデーレーシング,ノーザンファーム,鹿毛,,2019. 1.26,,,安平町
,220410,2阪6,11,桜花賞G1,ナミュール,,牝,3,4,横山武史,1,10,18,ハービンジャー,ダイワメジャー,キャロットファーム,ノーザンファーム,鹿毛,,2019. 3. 2,,,安平町
,220410,2阪6,11,桜花賞G1,プレサージュリフト,,牝,3,2,戸崎圭太,4,11,18,ハービンジャー,ディープインパクト,サンデーレーシング,ノーザンファーム,黒鹿,,2019. 4.25,,,安平町
,220410,2阪6,11,桜花賞G1,カフジテトラゴン,,牝,3,6,古川吉洋,18,12,18,キズナ,Dalakhani,加藤千豊,タイヘイ牧場,鹿毛,,2019. 3.26,,,新ひだか町
,220410,2阪6,11,桜花賞G1,クロスマジェスティ,,牝,3,4,武藤雅,15,13,18,ディーマジェスティ,カリズマティック,辻高史,藤原牧場,鹿毛,,2019. 3.28,836万,北海道セプテンバーセール,新ひだか町
,220410,2阪6,11,桜花賞G1,フォラブリューテ,,牝,3,3,ルメール,12,14,18,エピファネイア,アドマイヤベガ,キャロットファーム,ノーザンファーム,黒鹿,,2019. 5. 2,,,安平町
,220410,2阪6,11,桜花賞G1,アネゴハダ,,牝,3,7,幸英明,16,15,18,キズナ,ウォーエンブレム,岡浩二,サンデーヒルズ,青鹿,,2019. 5.11,,,新ひだか町
,220410,2阪6,11,桜花賞G1,ライラック,,牝,3,3,福永祐一,10,16,18,オルフェーヴル,キングカメハメハ,芹澤精一,杵臼牧場,鹿毛,,2019. 4.28,,,浦河町
,220410,2阪6,11,桜花賞G1,ラズベリームース,,牝,3,4,池添謙一,14,17,18,ルーラーシップ,ファルブラヴ,保坂和孝,ノーザンファーム,鹿毛,,2019. 2.27,4968万,セレクトセール,安平町
,220410,2阪6,11,桜花賞G1,ラブリイユアアイズ,,牝,3,4,坂井瑠星,8,18,18,ロゴタイプ,ヴィクトワールピサ,井内康之,社台ファーム,青毛,,2019. 3.19,1080万,セレクトセール,千歳市
,210411,2阪6,11,桜花賞G1,ソダシ,,牝,3,4,吉田隼人,2,１,18,クロフネ,キングカメハメハ,金子真人ホールディングス,ノーザンファーム,白毛,,2018. 3. 8,,,安平町
,210411,2阪6,11,桜花賞G1,サトノレイナス,,牝,3,3,ルメール,1,２,18,ディープインパクト,"Not For Sale",サトミホースカンパニー,ノーザンファーム,鹿毛,,2018. 2.26,10800万,セレクトセール,安平町
,210411,2阪6,11,桜花賞G1,ファインルージュ,,牝,3,3,福永祐一,8,３,18,キズナ,ボストンハーバー,六井元一,ノーザンファーム,鹿毛,,2018. 3.11,3564万,セレクトセール,安平町
,210411,2阪6,11,桜花賞G1,アカイトリノムスメ,,牝,3,4,横山武史,4,４,18,ディープインパクト,キングカメハメハ,金子真人ホールディングス,ノーザンファーム,黒鹿,,2018. 4.16,,,安平町
,210411,2阪6,11,桜花賞G1,アールドヴィーヴル,,牝,3,2,Ｍ．デム,5,５,18,キングカメハメハ,ディープインパクト,近藤英子,ノーザンファーム,鹿毛,,2018. 2.15,,,安平町
,210411,2阪6,11,桜花賞G1,ククナ,,牝,3,5,藤岡佑介,9,６,18,キングカメハメハ,ディープインパクト,キャロットファーム,ノーザンファーム,黒鹿,,2018. 3.31,,,安平町
,210411,2阪6,11,桜花賞G1,ストゥーティ,,牝,3,5,岩田康誠,14,７,18,モーリス,ゼンノロブロイ,キャロットファーム,ノーザンファーム,鹿毛,,2018. 2. 6,,,安平町
,210411,2阪6,11,桜花賞G1,エンスージアズム,,牝,3,5,岩田望来,15,８,18,ディープインパクト,"Storm Cat",吉田照哉,社台ファーム,鹿毛,,2018. 4. 4,,,千歳市
,210411,2阪6,11,桜花賞G1,ホウオウイクセル,,牝,3,4,丸田恭介,16,９,18,ルーラーシップ,スペシャルウィーク,小笹芳央,レイクヴィラファーム,鹿毛,,2018. 4.16,1728万,セレクトセール,洞爺湖町
,210411,2阪6,11,桜花賞G1,ミニーアイル,,牝,3,6,藤岡康太,17,10,18,ミッキーアイル,Petionville,大野剛嗣,ノーザンファーム,芦毛,,2018. 2. 5,3348万,セレクトセール,安平町
,210411,2阪6,11,桜花賞G1,ジネストラ,,牝,3,4,北村宏司,12,11,18,ロードカナロア,サンデーサイレンス,サンデーレーシング,ノーザンファーム,鹿毛,,2018. 2.21,,,安平町
,210411,2阪6,11,桜花賞G1,ストライプ,,牝,3,4,田辺裕信,13,12,18,ルーラーシップ,ダイワメジャー,佐藤壽男,荒木貴宏,黒鹿,,2018. 3.25,,,新ひだか町
,210411,2阪6,11,桜花賞G1,エリザベスタワー,,牝,3,3,川田将雅,6,13,18,Kingman,Doyen,社台レースホース,"Shadai Farm",黒鹿,(外),2018. 1.23,,,英
,210411,2阪6,11,桜花賞G1,ブルーバード,,牝,3,4,柴田大知,18,14,18,リーチザクラウン,"Elusive Quality",サラブレッドクラブ・ラフィアン,水丸牧場,鹿毛,,2018. 5.22,,,新ひだか町
,210411,2阪6,11,桜花賞G1,ソングライン,,牝,3,3,池添謙一,7,15,18,キズナ,シンボリクリスエス,サンデーレーシング,ノーザンファーム,青鹿,,2018. 3. 4,,,安平町
,210411,2阪6,11,桜花賞G1,シゲルピンクルビー,,牝,3,3,和田竜二,10,16,18,モーリス,"High Chaparral",關美和,天羽牧場,栗毛,,2018. 1.26,3024万,北海道セレクションセール,日高町
,210411,2阪6,11,桜花賞G1,ヨカヨカ,,牝,3,6,幸英明,11,17,18,スクワートルスクワート,"Danehill Dancer",岡浩二,本田土寿,黒鹿,,2018. 5.13,367万,ＪＲＡブリーズアップセール,熊本県
